horizon,predict_rows,mae,rmse,r2,residual_mean,residual_std,mae_increase_vs_t_plus_1,rmse_increase_vs_t_plus_1,r2_drop_vs_t_plus_1,decision
t+1,5800,0.03854840248506829,0.04847797058518656,0.9101428558891027,0.00019305688481424904,0.04847758617234814,0.0,0.0,0.0,recommended
t+5,5800,0.04199833724340181,0.05286688351998862,0.8926899716330342,-0.00017209331707007298,0.05286660341847454,0.0034499347583335227,0.004388912934802057,0.0174528842560685,usable
t+10,5800,0.05044053635963549,0.06378225064938857,0.8438450038393824,-0.0005446014465086632,0.06377992558137623,0.011892133874567203,0.015304280064202008,0.06629785204972027,usable
