model,predict_rows,mae,rmse,r2,residual_mean,residual_std,mae_change_vs_linear_regression,rmse_change_vs_linear_regression,r2_gain_vs_linear_regression,decision
linear_regression,5800,0.03854840248506829,0.04847797058518656,0.9101428558891027,0.00019305688481424904,0.04847758617234814,0.0,0.0,0.0,recommended
random_forest,5800,0.03712175391965557,0.04715311540238191,0.9149871582986836,0.0012585231733561863,0.04713631733146398,-0.0014266485654127192,-0.0013248551828046531,0.004844302409580892,recommended
