feature_set,predict_rows,mae,rmse,r2,residual_mean,residual_std,mae_change_vs_traffic_only,rmse_change_vs_traffic_only,r2_gain_vs_traffic_only,mae_change_vs_previous_feature_set,decision
traffic_only,5800,0.03872476779706886,0.04866340458299222,0.909454112634531,0.00020860208881989025,0.04866295748078335,0.0,0.0,0.0,,recommended
traffic_ue,5800,0.0387238861551973,0.048667778477172276,0.9094378352724667,0.00020258884740043885,0.048667356818118054,-8.816418715640317e-07,4.373894180058346e-06,-1.6277362064331946e-05,-8.816418715640317e-07,recommended
full_features,5800,0.03854840248506829,0.04847797058518656,0.9101428558891027,0.00019305688481424904,0.04847758617234814,-0.00017636531200057592,-0.00018543399780565628,0.0006887432545716887,-0.0001754836701290119,recommended
