window,predict_rows,mae,rmse,r2,residual_mean,residual_std,window_size,mae_change_vs_window_5,rmse_change_vs_window_5,mae_change_vs_previous_window,decision
window_5,5700,0.03219931432675658,0.0405276829976105,0.9355565674546006,-0.00011902293032619389,0.04052750822215527,5,0.0,0.0,,recommended
window_10,5600,0.03191343768121928,0.040199058433615986,0.9348699729867147,-2.614276861555318e-05,0.040199049932864356,10,-0.0002858766455373016,-0.0003286245639945104,-0.0002858766455373016,recommended
window_20,5400,0.031003746736173947,0.039043508867317535,0.9350306516442847,8.769427488828198e-05,0.03904341038365443,20,-0.001195567590582633,-0.0014841741302929617,-0.0009096909450453314,recommended
window_30,5200,0.03099749275247516,0.03906386721122259,0.9316501595966767,0.0001475962129451824,0.03906358837656822,30,-0.0012018215742814198,-0.0014638157863879064,-6.253983698786825e-06,recommended
